year,month,day,hour,minute,second,northing,easting,depth,latitude,longitude,roll,pitch,heading,altitude,leftimage,rightimage
2009,6,11,6,56,13.39,136.3322880,5.6373261,97.1386086,-42.1456057,148.4821286,0.0351043,0.0003453,-1.4198223,1.9900000,PR_20090611_065613_395_LC16.png,PR_20090611_065613_395_RM16.png
2009,6,11,6,56,14.39,136.0066047,5.6617378,97.1106234,-42.1456086,148.4821289,0.0194884,-0.0017622,-1.4311558,2.0400000,PR_20090611_065614_391_LC16.png,PR_20090611_065614_391_RM16.png
2009,6,11,6,56,15.39,135.6702594,5.7001039,97.0814844,-42.1456116,148.4821295,0.0100455,0.0011907,-1.4300235,2.0800000,PR_20090611_065615_390_LC16.png,PR_20090611_065615_390_RM16.png
2009,6,11,6,56,16.39,135.3196319,5.7397574,97.0655430,-42.1456148,148.4821300,0.0132952,-0.0007022,-1.4204660,2.0300000,PR_20090611_065616_396_LC16.png,PR_20090611_065616_396_RM16.png
2009,6,11,6,56,17.39,134.9713046,5.7731340,97.0480941,-42.1456179,148.4821305,0.0302827,-0.0019530,-1.4068030,2.0180000,PR_20090611_065617_395_LC16.png,PR_20090611_065617_395_RM16.png
2009,6,11,6,56,18.39,134.6271015,5.7796637,97.0322090,-42.1456210,148.4821306,0.0438352,0.0001525,-1.3842859,2.0100000,PR_20090611_065618_393_LC16.png,PR_20090611_065618_393_RM16.png
2009,6,11,6,56,19.39,134.2951184,5.7873810,97.0445260,-42.1456240,148.4821308,0.0404263,0.0006671,-1.3785378,2.0100000,PR_20090611_065619_392_LC16.png,PR_20090611_065619_392_RM16.png
2009,6,11,6,56,20.39,133.9652053,5.7850408,97.0836355,-42.1456270,148.4821309,0.0285132,-0.0019530,-1.3780103,2.0200000,PR_20090611_065620_395_LC16.png,PR_20090611_065620_395_RM16.png
2009,6,11,6,56,21.39,133.6331711,5.7691031,97.1301377,-42.1456299,148.4821307,0.0270257,-0.0005666,-1.3727525,1.9700000,PR_20090611_065621_395_LC16.png,PR_20090611_065621_395_RM16.png
2009,6,11,6,56,22.39,133.3013936,5.7358245,97.1659576,-42.1456329,148.4821304,0.0327163,0.0040397,-1.3616037,1.9500000,PR_20090611_065622_390_LC16.png,PR_20090611_065622_390_RM16.png
2009,6,11,6,56,23.39,132.9753901,5.6904335,97.1798461,-42.1456359,148.4821299,0.0371279,0.0069797,-1.3506627,1.9480000,PR_20090611_065623_395_LC16.png,PR_20090611_065623_395_RM16.png
2009,6,11,6,56,24.39,132.6547847,5.6194916,97.1742452,-42.1456388,148.4821291,0.0348409,0.0105597,-1.3373747,1.9680000,PR_20090611_065624_396_LC16.png,PR_20090611_065624_396_RM16.png
2009,6,11,6,56,25.39,132.3300329,5.5414909,97.1619621,-42.1456417,148.4821282,0.0265620,0.0120271,-1.3362909,1.9600000,PR_20090611_065625_391_LC16.png,PR_20090611_065625_391_RM16.png
2009,6,11,6,56,26.39,131.9840134,5.4848553,97.1489699,-42.1456448,148.4821276,0.0186515,0.0097603,-1.3586792,1.9700000,PR_20090611_065626_396_LC16.png,PR_20090611_065626_396_RM16.png
2009,6,11,6,56,27.39,131.6346080,5.4602153,97.1317105,-42.1456480,148.4821274,0.0197438,0.0093921,-1.3839260,1.9700000,PR_20090611_065627_394_LC16.png,PR_20090611_065627_394_RM16.png
