auv_image_name,mod_image_name
PR_20101021_063538_631_LC16,HSthBroad2010_T33a
PR_20101021_063604_621_LC16,HSthBroad2010_T33b
PR_20101021_063626_607_LC16,HSthBroad2010_T33c
PR_20101021_063649_598_LC16,HSthBroad2010_T33d
PR_20101021_063713_590_LC16,HSthBroad2010_T33e
PR_20101021_063736_636_LC16,HSthBroad2010_T33f
PR_20101021_063758_593_LC16,HSthBroad2010_T33g
PR_20101021_063819_591_LC16,HSthBroad2010_T33h
PR_20101021_063842_577_LC16,HSthBroad2010_T33i
PR_20101021_063906_560_LC16,HSthBroad2010_T33j
PR_20101021_063930_563_LC16,HSthBroad2010_T34a
PR_20101021_063954_556_LC16,HSthBroad2010_T34b
PR_20101021_064017_542_LC16,HSthBroad2010_T34c
PR_20101021_064040_580_LC16,HSthBroad2010_T34d
PR_20101021_064103_569_LC16,HSthBroad2010_T34e
PR_20101021_064126_553_LC16,HSthBroad2010_T34f
PR_20101021_064151_525_LC16,HSthBroad2010_T34g
PR_20101021_064216_550_LC16,HSthBroad2010_T34h
PR_20101021_064237_504_LC16,HSthBroad2010_T34i
PR_20101021_064300_511_LC16,HSthBroad2010_T34j
PR_20101021_064323_482_LC16,HSthBroad2010_T35a
PR_20101021_064346_471_LC16,HSthBroad2010_T35b
PR_20101021_064409_461_LC16,HSthBroad2010_T35c
PR_20101021_064432_476_LC16,HSthBroad2010_T35d
PR_20101021_064454_463_LC16,HSthBroad2010_T35e
PR_20101021_064518_455_LC16,HSthBroad2010_T35f
PR_20101021_064541_445_LC16,HSthBroad2010_T35g
PR_20101021_064604_433_LC16,HSthBroad2010_T35h
PR_20101021_064628_443_LC16,HSthBroad2010_T35i
PR_20101021_064651_413_LC16,HSthBroad2010_T35j
PR_20101021_065143_829_LC16,HSthBroad2010_T36a
PR_20101021_065207_819_LC16,HSthBroad2010_T36b
PR_20101021_065230_832_LC16,HSthBroad2010_T36c
PR_20101021_065253_797_LC16,HSthBroad2010_T36d
PR_20101021_065317_789_LC16,HSthBroad2010_T36e
PR_20101021_065342_807_LC16,HSthBroad2010_T36f
PR_20101021_065407_780_LC16,HSthBroad2010_T36g
PR_20101021_065432_775_LC16,HSthBroad2010_T36h
PR_20101021_065456_768_LC16,HSthBroad2010_T36i
PR_20101021_065520_791_LC16,HSthBroad2010_T36j
PR_20101021_065544_754_LC16,HSthBroad2010_T37a
PR_20101021_065609_724_LC16,HSthBroad2010_T37b
PR_20101021_065635_737_LC16,HSthBroad2010_T37c
PR_20101021_065702_748_LC16,HSthBroad2010_T37d
PR_20101021_065729_700_LC16,HSthBroad2010_T37e
PR_20101021_065755_699_LC16,HSthBroad2010_T37f
PR_20101021_065826_697_LC16,HSthBroad2010_T37g
PR_20101021_065850_679_LC16,HSthBroad2010_T37h
PR_20101021_065915_688_LC16,HSthBroad2010_T37i
PR_20101021_065940_669_LC16,HSthBroad2010_T37j
PR_20101021_070004_663_LC16,HSthBroad2010_T38a
PR_20101021_070029_657_LC16,HSthBroad2010_T38b
PR_20101021_070055_656_LC16,HSthBroad2010_T38c
PR_20101021_070119_649_LC16,HSthBroad2010_T38d
PR_20101021_070144_643_LC16,HSthBroad2010_T38e
PR_20101021_070207_633_LC16,HSthBroad2010_T38f
PR_20101021_070231_651_LC16,HSthBroad2010_T38g
PR_20101021_070255_618_LC16,HSthBroad2010_T38h
PR_20101021_070318_630_LC16,HSthBroad2010_T38i
PR_20101021_070343_602_LC16,HSthBroad2010_T38j
PR_20101021_070410_577_LC16,HSthBroad2010_T39a
PR_20101021_070437_578_LC16,HSthBroad2010_T39b
PR_20101021_070503_575_LC16,HSthBroad2010_T39c
PR_20101021_070528_570_LC16,HSthBroad2010_T39d
PR_20101021_070556_548_LC16,HSthBroad2010_T39e
PR_20101021_070620_539_LC16,HSthBroad2010_T39f
PR_20101021_070643_542_LC16,HSthBroad2010_T39g
PR_20101021_070708_523_LC16,HSthBroad2010_T39h
PR_20101021_070732_515_LC16,HSthBroad2010_T39i
PR_20101021_070758_513_LC16,HSthBroad2010_T39j
PR_20101021_070838_498_LC16,HSthBroad2010_T40a
PR_20101021_070905_473_LC16,HSthBroad2010_T40b
PR_20101021_070929_465_LC16,HSthBroad2010_T40c
PR_20101021_070955_968_LC16,HSthBroad2010_T40d
PR_20101021_071019_957_LC16,HSthBroad2010_T40e
PR_20101021_071045_955_LC16,HSthBroad2010_T40f
PR_20101021_071111_977_LC16,HSthBroad2010_T40g
PR_20101021_071140_929_LC16,HSthBroad2010_T40h
PR_20101021_071204_921_LC16,HSthBroad2010_T40i
PR_20101021_071232_923_LC16,HSthBroad2010_T40j
PR_20101021_071254_909_LC16,HSthBroad2010_T41a
PR_20101021_071328_904_LC16,HSthBroad2010_T41b
